VIDEO_ID,EMOTION_NAME,SUBJECT_ID,DURATION,RATING,AVERAGE_RATING,VARIANCE_RATING,PHASE
460,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,900,5.81,6.404999999999999,0.8414570696119918,1
1283,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,900,5.48,6.24,1.074802307403552,1
1037,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,2600,5.58,6.095000000000001,0.7283199846221442,1
489,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,2600,4.72,4.529999999999999,0.268700576850888,1
1402,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,2600,1.95,1.665,0.4030508652763321,1
491,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,900,2.12,1.56,0.7919595949289333,1
115,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,2600,4.85,5.029999999999999,0.2545584412271574,1
730,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,2600,5.11,4.835,0.3889087296526016,1
395,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,2600,7.0,7.0,0.0,1
911,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,900,5.79,5.805,0.0212132034355966,1
1642,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,900,5.75,5.95,0.2828427124746193,1
969,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,900,5.48,5.1,0.5374011537017765,1
722,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,900,5.97,6.015,0.0636396103067891,1
1492,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,2600,7.0,5.28,2.432447327281724,1
1114,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,2600,4.97,4.895,0.1060660171779817,1
271,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,2600,4.4,3.985,0.5868986283848348,1
522,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,900,4.41,3.795,0.8697413408594534,1
1737,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,900,7.0,7.0,0.0,1
190,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,900,7.0,6.75,0.3535533905932738,1
377,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,900,7.0,7.0,0.0,1
744,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,900,5.02,4.82,0.2828427124746186,1
1777,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,2600,4.53,4.625,0.1343502884254437,1
2121,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,2600,7.0,7.0,0.0,1
2130,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,900,4.88,4.8,0.1131370849898477,1
46,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,2600,7.0,7.0,0.0,1
648,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,2600,5.05,5.455,0.5727564927611039,1
1767,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,900,7.0,7.0,0.0,1
548,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,2600,5.83,5.95,0.1697056274847715,1
1679,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,2600,5.66,5.890000000000001,0.3252691193458118,1
758,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,900,1.0,1.0,0.0,1
460,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,2600,7.0,6.404999999999999,0.8414570696119918,2
1283,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,2600,7.0,6.24,1.074802307403552,2
1037,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,900,6.61,6.095000000000001,0.7283199846221442,2
489,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,900,4.34,4.529999999999999,0.268700576850888,2
1402,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,900,1.38,1.665,0.4030508652763321,2
491,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,2600,1.0,1.56,0.7919595949289333,2
115,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,900,5.21,5.029999999999999,0.2545584412271574,2
730,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,900,4.56,4.835,0.3889087296526016,2
395,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,900,7.0,7.0,0.0,2
911,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,2600,5.82,5.805,0.0212132034355966,2
1642,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,2600,6.15,5.95,0.2828427124746193,2
969,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,2600,4.72,5.1,0.5374011537017765,2
722,anxiety,O4mOO2W80Od34gyNg7l6hJzqlDm2,2600,6.06,6.015,0.0636396103067891,2
