chosenVideoID,chosenVideoRating,notChosenVideoID,notChosenVideoRating,emotionName,confidenceRating,chosenVideoAvg,notChosenVideoAvg,chosenVideoVar,notChosenVideoVar,value_difference,summed_variability,summed_value,consistent_choice,subject_id
0069,2.62,1086,1.42,romance,,2.62,1.42,0.5232590180780453,0.5091168824543142,1.2000000000000002,1.0323759005323594,4.04,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0069,2.62,0520,1.4100000000000001,romance,5.99,2.62,1.4100000000000001,0.5232590180780453,0.18384776310850234,1.21,0.7071067811865477,4.03,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1626,2.49,1028,1.595,romance,,2.49,1.595,0.2262741699796951,0.06363961030678918,0.8950000000000002,0.2899137802864843,4.085,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0824,1.73,0520,1.4100000000000001,romance,,1.73,1.4100000000000001,0.028284271247461926,0.18384776310850234,0.31999999999999984,0.21213203435596428,3.14,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1756,2.9450000000000003,0824,1.73,romance,6.12,2.9450000000000003,1.73,0.049497474683058214,0.028284271247461926,1.2150000000000003,0.07778174593052015,4.675000000000001,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0069,2.62,0824,1.73,romance,,2.62,1.73,0.5232590180780453,0.028284271247461926,0.8900000000000001,0.5515432893255072,4.35,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1626,2.49,1534,2.1550000000000002,romance,6.19,2.49,2.1550000000000002,0.2262741699796951,0.40305086527633194,0.33499999999999996,0.629325035256027,4.6450000000000005,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1378,2.9,0824,1.73,romance,,2.9,1.73,0.028284271247461926,0.028284271247461926,1.17,0.05656854249492385,4.63,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0069,2.62,0779,1.475,romance,,2.62,1.475,0.5232590180780453,0.06363961030678934,1.145,0.5868986283848346,4.095000000000001,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2110,2.64,0779,1.475,romance,,2.64,1.475,0.4384062043356595,0.06363961030678934,1.165,0.5020458146424489,4.115,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
