chosenVideoID,chosenVideoRating,notChosenVideoID,notChosenVideoRating,emotionName,confidenceRating,chosenVideoAvg,notChosenVideoAvg,chosenVideoVar,notChosenVideoVar,value_difference,summed_variability,summed_value,consistent_choice,subject_id
1623,3.17,1167,1.925,sadness,,3.17,1.925,0.39597979746446665,0.3889087296526013,1.2449999999999999,0.784888527117068,5.095,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1169,2.77,1279,3.37,sadness,4.45,2.77,3.37,0.028284271247461926,0.5798275605729688,0.6000000000000001,0.6081118318204307,6.140000000000001,0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1485,4.51,0891,1.505,sadness,,4.51,1.505,0.16970562748477155,0.06363961030678934,3.005,0.2333452377915609,6.015,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1943,1.7999999999999998,0891,1.505,sadness,,1.7999999999999998,1.505,0.21213203435596428,0.06363961030678934,0.29499999999999993,0.2757716446627536,3.3049999999999997,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0490,3.31,1485,4.51,sadness,,3.31,4.51,0.5515432893255072,0.16970562748477155,1.1999999999999997,0.7212489168102788,7.82,0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1703,4.725,0255,1.75,sadness,,4.725,1.75,0.34648232278140784,0.2969848480983499,2.9749999999999996,0.6434671708797577,6.475,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0300,4.7,0255,1.75,sadness,5.84,4.7,1.75,0.2262741699796954,0.2969848480983499,2.95,0.5232590180780453,6.45,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0490,3.31,0746,2.1,sadness,6.19,3.31,2.1,0.5515432893255072,0.33941125496954266,1.21,0.8909545442950499,5.41,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1752,3.275,2119,2.675,sadness,6.37,3.275,2.675,0.41719300090006295,0.19091883092036785,0.6000000000000001,0.6081118318204308,5.949999999999999,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2062,1.73,1329,1.47,sadness,,1.73,1.47,0.09899494936611673,0.0,0.26,0.09899494936611673,3.2,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0312,3.5149999999999997,1231,2.6100000000000003,sadness,,3.5149999999999997,2.6100000000000003,0.2474873734152917,0.5374011537017763,0.9049999999999994,0.784888527117068,6.125,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0255,1.75,0891,1.505,sadness,,1.75,1.505,0.2969848480983499,0.06363961030678934,0.2450000000000001,0.36062445840513924,3.255,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1623,3.17,0600,1.95,sadness,,3.17,1.95,0.39597979746446665,0.19798989873223316,1.22,0.5939696961966998,5.12,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0746,2.1,0891,1.505,sadness,5.07,2.1,1.505,0.33941125496954266,0.06363961030678934,0.5950000000000002,0.403050865276332,3.605,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0300,4.7,1101,3.775,sadness,,4.7,3.775,0.2262741699796954,1.1101576464628793,0.9250000000000003,1.3364318164425746,8.475,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
