chosenVideoID,chosenVideoRating,notChosenVideoID,notChosenVideoRating,emotionName,confidenceRating,chosenVideoAvg,notChosenVideoAvg,chosenVideoVar,notChosenVideoVar,value_difference,summed_variability,summed_value,consistent_choice,subject_id
1171,2.18,1365,1.6099999999999999,joy,,2.18,1.6099999999999999,0.5656854249492381,0.09899494936611658,0.5700000000000003,0.6646803743153546,3.79,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0194,2.99,1012,1.745,joy,4.71,2.99,1.745,0.028284271247461613,0.27577164466275345,1.245,0.3040559159102151,4.735,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2102,2.1550000000000002,1365,1.6099999999999999,joy,,2.1550000000000002,1.6099999999999999,0.7566042558696058,0.09899494936611658,0.5450000000000004,0.8555992052357224,3.765,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1428,1.845,0844,1.51,joy,,1.845,1.51,0.06363961030678918,0.3252691193458118,0.33499999999999996,0.388908729652601,3.355,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1661,2.1149999999999998,1343,1.49,joy,,2.1149999999999998,1.49,0.5586143571373724,0.08485281374238578,0.6249999999999998,0.6434671708797581,3.6049999999999995,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1698,1.62,1898,1.29,joy,5.35,1.62,1.29,0.18384776310850234,0.2969848480983499,0.33000000000000007,0.4808326112068523,2.91,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0194,2.99,0452,2.105,joy,,2.99,2.105,0.028284271247461613,0.7707463914933367,0.8850000000000002,0.7990306627407983,5.095000000000001,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0452,2.105,1343,1.49,joy,,2.105,1.49,0.7707463914933367,0.08485281374238578,0.615,0.8555992052357224,3.5949999999999998,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0194,2.99,1428,1.845,joy,6,2.99,1.845,0.028284271247461613,0.06363961030678918,1.1450000000000002,0.0919238815542508,4.835,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1848,1.455,1743,2.6500000000000004,joy,5.62,1.455,2.6500000000000004,0.27577164466275345,0.014142135623730963,1.1950000000000003,0.2899137802864844,4.105,0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0452,2.105,1503,1.47,joy,3.5,2.105,1.47,0.7707463914933367,0.014142135623730963,0.635,0.7848885271170677,3.575,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0864,2.3449999999999998,1343,1.49,joy,,2.3449999999999998,1.49,0.19091883092036785,0.08485281374238578,0.8549999999999998,0.2757716446627536,3.835,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1428,1.845,1898,1.29,joy,,1.845,1.29,0.06363961030678918,0.2969848480983499,0.5549999999999999,0.36062445840513907,3.135,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1850,1.695,1932,1.38,joy,,1.695,1.38,0.10606601717798207,0.14142135623730948,0.31500000000000017,0.24748737341529153,3.075,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1661,2.1149999999999998,1503,1.47,joy,,2.1149999999999998,1.47,0.5586143571373724,0.014142135623730963,0.6449999999999998,0.5727564927611034,3.585,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
