VIDEO_ID,EMOTION_NAME,SUBJECT_ID,DURATION,RATING,AVERAGE_RATING,VARIANCE_RATING,PHASE
1271,disgust,QNCU9N42arMzjIfiqDoHGfFgjm63,2600,7.0,7.0,0.0,1
2102,joy,QNCU9N42arMzjIfiqDoHGfFgjm63,900,7.0,6.995,0.0070710678118653,1
2110,romance,QNCU9N42arMzjIfiqDoHGfFgjm63,900,7.0,6.285,1.0111626970967629,1
1576,disgust,QNCU9N42arMzjIfiqDoHGfFgjm63,2600,7.0,6.91,0.1272792206135783,1
1434,disgust,QNCU9N42arMzjIfiqDoHGfFgjm63,900,6.02,5.97,0.0707106781186545,1
600,sadness,QNCU9N42arMzjIfiqDoHGfFgjm63,900,2.44,2.81,0.5232590180780453,1
1943,sadness,QNCU9N42arMzjIfiqDoHGfFgjm63,900,2.03,2.54,0.7212489168102785,1
255,sadness,QNCU9N42arMzjIfiqDoHGfFgjm63,900,2.0,2.965,1.3647160876900368,1
460,anxiety,QNCU9N42arMzjIfiqDoHGfFgjm63,900,7.0,6.995,0.0070710678118653,1
1623,sadness,QNCU9N42arMzjIfiqDoHGfFgjm63,900,6.02,5.949999999999999,0.0989949493661164,1
1137,disgust,QNCU9N42arMzjIfiqDoHGfFgjm63,900,4.89,4.845,0.0636396103067891,1
722,anxiety,QNCU9N42arMzjIfiqDoHGfFgjm63,2600,7.0,7.0,0.0,1
1932,joy,QNCU9N42arMzjIfiqDoHGfFgjm63,2600,2.88,3.325,0.6293250352560273,1
543,romance,QNCU9N42arMzjIfiqDoHGfFgjm63,900,5.01,5.48,0.664680374315355,1
1642,anxiety,QNCU9N42arMzjIfiqDoHGfFgjm63,900,4.99,4.640000000000001,0.4949747468305834,1
520,romance,QNCU9N42arMzjIfiqDoHGfFgjm63,2600,1.87,2.59,1.0182337649086284,1
1737,anxiety,QNCU9N42arMzjIfiqDoHGfFgjm63,2600,7.0,7.0,0.0,1
377,anxiety,QNCU9N42arMzjIfiqDoHGfFgjm63,2600,7.0,7.0,0.0,1
1752,sadness,QNCU9N42arMzjIfiqDoHGfFgjm63,2600,1.9,2.865,1.3647160876900368,1
774,sadness,QNCU9N42arMzjIfiqDoHGfFgjm63,2600,2.15,3.0700000000000003,1.3010764773832475,1
982,joy,QNCU9N42arMzjIfiqDoHGfFgjm63,2600,6.11,5.825,0.4030508652763322,1
1622,romance,QNCU9N42arMzjIfiqDoHGfFgjm63,900,4.01,4.04,0.0424264068711932,1
194,joy,QNCU9N42arMzjIfiqDoHGfFgjm63,2600,7.0,7.0,0.0,1
1404,disgust,QNCU9N42arMzjIfiqDoHGfFgjm63,900,6.79,6.59,0.2828427124746193,1
2130,anxiety,QNCU9N42arMzjIfiqDoHGfFgjm63,900,7.0,7.0,0.0,1
1012,joy,QNCU9N42arMzjIfiqDoHGfFgjm63,900,6.69,6.66,0.0424264068711932,1
1238,romance,QNCU9N42arMzjIfiqDoHGfFgjm63,2600,7.0,7.0,0.0,1
1503,joy,QNCU9N42arMzjIfiqDoHGfFgjm63,900,5.18,4.98,0.2828427124746186,1
