CHOSEN_VIDEO_ID,CHOSEN_VIDEO_RATING,NOT_CHOSEN_VIDEO_ID,NOT_CHOSEN_VIDEO_RATING,EMOTION_NAME,CONFIDENCE_RATING,CHOSEN_VIDEO_VAR,NOT_CHOSEN_VIDEO_VAR,VALUE_DIFFERENCE,SUMMED_VARIABILITY,SUMMED_VALUE,CONSISTENT_CHOICE,SUBJECT_ID
2035.0,6.59,1101.0,6.04,sadness,,0.4242640687119283,0.2121320343559647,0.5499999999999998,0.6363961030678931,12.63,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
452.0,4.515000000000001,1191.0,4.205,joy,5.92,0.0777817459305204,0.1060660171779823,0.3100000000000005,0.1838477631085028,8.72,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1716.0,4.21,307.0,3.96,romance,,1.1172287142747452,0.6222539674441621,0.25,1.7394826817189073,8.17,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
2035.0,6.59,490.0,5.35,sadness,5.83,0.4242640687119283,0.4949747468305834,1.2400000000000002,0.9192388155425116,11.94,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
2119.0,5.125,9.0,6.07,sadness,6.01,0.0919238815542517,0.1414213562373096,0.9450000000000004,0.2333452377915613,11.195,0,O4mOO2W80Od34gyNg7l6hJzqlDm2
1642.0,5.95,969.0,5.1,anxiety,,0.2828427124746193,0.5374011537017765,0.8500000000000005,0.8202438661763958,11.05,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
282.0,4.215,1487.0,3.92,disgust,,0.9404520189781084,0.8343860018001259,0.2949999999999999,1.7748380207782342,8.135,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1378.0,5.4,277.0,4.495,romance,5.86,0.0424264068711925,0.4596194077712561,0.9050000000000002,0.5020458146424487,9.895,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
190.0,6.75,522.0,3.795,anxiety,,0.3535533905932738,0.8697413408594534,2.955,1.2232947314527272,10.545,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1642.0,5.95,2130.0,4.8,anxiety,,0.2828427124746193,0.1131370849898477,1.1500000000000004,0.395979797464467,10.75,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
2102.0,4.21,1898.0,4.52,joy,6.13,0.6222539674441621,0.3252691193458118,0.3099999999999996,0.947523086789974,8.73,0,O4mOO2W80Od34gyNg7l6hJzqlDm2
282.0,4.215,1404.0,3.01,disgust,,0.9404520189781084,0.3111269837220808,1.205,1.2515790027001892,7.225,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1777.0,4.625,1402.0,1.665,anxiety,,0.1343502884254437,0.4030508652763321,2.96,0.5374011537017759,6.29,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
905.0,4.16,566.0,4.74,disgust,,1.1313708498984762,0.0424264068711925,0.5800000000000001,1.1737972567696688,8.9,0,O4mOO2W80Od34gyNg7l6hJzqlDm2
1283.0,6.24,1492.0,5.28,anxiety,,1.074802307403552,2.432447327281724,0.96,3.507249634685276,11.52,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
2121.0,7.0,911.0,5.805,anxiety,,0.0,0.0212132034355966,1.1950000000000005,0.0212132034355966,12.805,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1767.0,7.0,271.0,3.985,anxiety,,0.0,0.5868986283848348,3.015,0.5868986283848348,10.985,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
69.0,5.02,1238.0,5.3100000000000005,romance,,0.6363961030678924,0.3252691193458118,0.2900000000000009,0.9616652224137042,10.33,0,O4mOO2W80Od34gyNg7l6hJzqlDm2
1692.0,4.87,2060.0,4.0200000000000005,joy,,0.1838477631085022,0.2404163056034263,0.8499999999999996,0.4242640687119285,8.89,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1622.0,5.390000000000001,1716.0,4.21,romance,5.94,0.9333809511662424,1.1172287142747452,1.1800000000000006,2.0506096654409878,9.6,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
489.0,4.529999999999999,730.0,4.835,anxiety,,0.268700576850888,0.3889087296526016,0.3050000000000006,0.6576093065034896,9.364999999999998,0,O4mOO2W80Od34gyNg7l6hJzqlDm2
648.0,5.455,1114.0,4.895,anxiety,5.33,0.5727564927611039,0.1060660171779817,0.5600000000000005,0.6788225099390857,10.35,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1698.0,4.275,2060.0,4.0200000000000005,joy,,0.1909188309203681,0.2404163056034263,0.2549999999999999,0.4313351365237945,8.295000000000002,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1658.0,5.445,1626.0,5.12,romance,,0.388908729652601,0.0141421356237306,0.3250000000000002,0.4030508652763316,10.565,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1434.0,3.475,829.0,2.92,disgust,,0.0777817459305201,0.0565685424949238,0.5549999999999997,0.134350288425444,6.395,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1054.0,5.68,277.0,4.495,romance,5.65,0.1131370849898477,0.4596194077712561,1.1849999999999996,0.5727564927611039,10.175,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
891.0,3.695,600.0,2.48,sadness,,1.1808683245815346,0.4666904755831215,1.2150000000000003,1.647558800164656,6.175000000000001,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
9.0,6.07,300.0,4.855,sadness,6.32,0.1414213562373096,0.1202081528017136,1.215,0.2616295090390233,10.925,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1238.0,5.3100000000000005,1028.0,4.66,romance,,0.3252691193458118,0.1979898987322334,0.6500000000000004,0.5232590180780453,9.97,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1487.0,3.92,2006.0,2.705,disgust,,0.8343860018001259,1.011162697096763,1.215,1.845548698896889,6.625,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1757.0,3.475,218.0,2.295,disgust,4.88,0.4171930009000629,0.360624458405139,1.1800000000000002,0.7778174593052021,5.77,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1698.0,4.275,1898.0,4.52,joy,,0.1909188309203681,0.3252691193458118,0.2449999999999992,0.5161879502661799,8.795,0,O4mOO2W80Od34gyNg7l6hJzqlDm2
1279.0,4.765000000000001,490.0,5.35,sadness,4.31,0.1909188309203681,0.4949747468305834,0.5849999999999991,0.6858935777509516,10.115,0,O4mOO2W80Od34gyNg7l6hJzqlDm2
864.0,4.105,1171.0,3.48,joy,,0.5161879502661794,0.2121320343559641,0.6250000000000004,0.7283199846221435,7.585000000000001,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1757.0,3.475,909.0,3.135,disgust,,0.4171930009000629,0.4737615433949871,0.3400000000000003,0.89095454429505,6.609999999999999,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
2007.0,5.199999999999999,103.0,2.19,romance,,0.9192388155425116,1.682914139223983,3.01,2.6021529547664946,7.389999999999999,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1765.0,4.630000000000001,1970.0,1.675,disgust,,0.2121320343559641,0.9545941546018392,2.955000000000001,1.1667261889578031,6.305000000000001,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1622.0,5.390000000000001,277.0,4.495,romance,,0.9333809511662424,0.4596194077712561,0.8950000000000005,1.3930003589374984,9.885000000000002,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
9.0,6.07,1231.0,5.175,sadness,,0.1414213562373096,0.0494974746830585,0.8950000000000005,0.1909188309203681,11.245,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
829.0,2.92,218.0,2.295,disgust,5.71,0.0565685424949238,0.360624458405139,0.625,0.4171930009000629,5.215,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
905.0,4.16,1404.0,3.01,disgust,,1.1313708498984762,0.3111269837220808,1.1500000000000004,1.4424978336205572,7.17,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
46.0,7.0,271.0,3.985,anxiety,,0.0,0.5868986283848348,3.015,0.5868986283848348,10.985,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
