rating_phase1,videoID,emotionName,rating_phase2,average_rating,variance_rating,subject_id
4.6,1037,anxiety,3.73,4.165,0.6151828996322961,66eiQT6v7jbX4HLVZAF9jjjAnhi2
5.09,0648,anxiety,5.7,5.395,0.43133513652379424,66eiQT6v7jbX4HLVZAF9jjjAnhi2
4.92,0548,anxiety,5.74,5.33,0.5798275605729691,66eiQT6v7jbX4HLVZAF9jjjAnhi2
4.16,1492,anxiety,4.59,4.375,0.30405591591021525,66eiQT6v7jbX4HLVZAF9jjjAnhi2
2.92,0115,anxiety,4.88,3.9,1.3859292911256331,66eiQT6v7jbX4HLVZAF9jjjAnhi2
3.17,0522,anxiety,2.93,3.05,0.16970562748477125,66eiQT6v7jbX4HLVZAF9jjjAnhi2
2.22,0522,anxiety,1.28,1.75,0.6646803743153549,aM1CxLBZisfaOXevMwqsUy7nQE23
5.85,0190,anxiety,6.52,6.185,0.4737615433949868,aM1CxLBZisfaOXevMwqsUy7nQE23
2.28,0730,anxiety,1.72,2.0,0.3959797974644665,aM1CxLBZisfaOXevMwqsUy7nQE23
5.89,2130,anxiety,4.98,5.4350000000000005,0.6434671708797578,aM1CxLBZisfaOXevMwqsUy7nQE23
1.97,0648,anxiety,1.16,1.565,0.5727564927611035,aM1CxLBZisfaOXevMwqsUy7nQE23
5.68,1037,anxiety,6.48,6.08,0.5656854249492386,aM1CxLBZisfaOXevMwqsUy7nQE23
4.57,0911,anxiety,4.87,4.720000000000001,0.21213203435596412,aM1CxLBZisfaOXevMwqsUy7nQE23
2.58,1642,anxiety,1.92,2.25,0.4666904755831215,aM1CxLBZisfaOXevMwqsUy7nQE23
1.01,1402,anxiety,1.03,1.02,0.014142135623730963,aM1CxLBZisfaOXevMwqsUy7nQE23
5.42,0377,anxiety,6.11,5.765000000000001,0.48790367901871806,aM1CxLBZisfaOXevMwqsUy7nQE23
5.68,0489,anxiety,4.92,5.3,0.537401153701776,aM1CxLBZisfaOXevMwqsUy7nQE23
6.94,0395,anxiety,6.37,6.655,0.40305086527633227,aM1CxLBZisfaOXevMwqsUy7nQE23
5.25,1492,anxiety,4.14,4.695,0.7848885271170679,aM1CxLBZisfaOXevMwqsUy7nQE23
1.41,1777,anxiety,1.0,1.205,0.2899137802864844,aM1CxLBZisfaOXevMwqsUy7nQE23
5.97,0046,anxiety,6.27,6.119999999999999,0.21213203435596412,aM1CxLBZisfaOXevMwqsUy7nQE23
3.05,0548,anxiety,1.02,2.035,1.4354267658086912,aM1CxLBZisfaOXevMwqsUy7nQE23
6.98,0460,anxiety,6.42,6.7,0.39597979746446693,aM1CxLBZisfaOXevMwqsUy7nQE23
2.4,0115,anxiety,1.0,1.7,0.9899494936611665,aM1CxLBZisfaOXevMwqsUy7nQE23
3.53,0744,anxiety,2.16,2.8449999999999998,0.9687362902255698,aM1CxLBZisfaOXevMwqsUy7nQE23
5.89,1679,anxiety,5.97,5.93,0.05656854249492385,aM1CxLBZisfaOXevMwqsUy7nQE23
5.78,1767,anxiety,5.95,5.865,0.12020815280171303,aM1CxLBZisfaOXevMwqsUy7nQE23
1.0,0271,anxiety,1.0,1.0,0.0,aM1CxLBZisfaOXevMwqsUy7nQE23
2.96,0758,anxiety,2.07,2.5149999999999997,0.6293250352560273,aM1CxLBZisfaOXevMwqsUy7nQE23
6.41,2121,anxiety,6.42,6.415,0.007071067811865324,aM1CxLBZisfaOXevMwqsUy7nQE23
1.0,0969,anxiety,1.0,1.0,0.0,aM1CxLBZisfaOXevMwqsUy7nQE23
6.96,0722,anxiety,6.05,6.505,0.6434671708797584,aM1CxLBZisfaOXevMwqsUy7nQE23
5.86,1114,anxiety,5.94,5.9,0.05656854249492385,aM1CxLBZisfaOXevMwqsUy7nQE23
6.06,1737,anxiety,6.32,6.1899999999999995,0.18384776310850284,aM1CxLBZisfaOXevMwqsUy7nQE23
1.03,0491,anxiety,1.04,1.0350000000000001,0.007071067811865481,aM1CxLBZisfaOXevMwqsUy7nQE23
1.16,1283,anxiety,1.03,1.095,0.0919238815542511,aM1CxLBZisfaOXevMwqsUy7nQE23
6.27,1737,anxiety,5.82,6.045,0.31819805153394587,cRQWHohhVAeBLTB6vdPEXxs0cwy1
7.0,0377,anxiety,6.82,6.91,0.12727922061357835,cRQWHohhVAeBLTB6vdPEXxs0cwy1
3.11,0522,anxiety,2.97,3.04,0.09899494936611643,cRQWHohhVAeBLTB6vdPEXxs0cwy1
5.0,1402,anxiety,2.91,3.955,1.4778531726798843,cRQWHohhVAeBLTB6vdPEXxs0cwy1
6.73,0395,anxiety,6.84,6.785,0.07778174593051983,cRQWHohhVAeBLTB6vdPEXxs0cwy1
7.0,0744,anxiety,6.68,6.84,0.2262741699796954,cRQWHohhVAeBLTB6vdPEXxs0cwy1
4.95,0969,anxiety,4.88,4.915,0.049497474683058526,cRQWHohhVAeBLTB6vdPEXxs0cwy1
6.98,1037,anxiety,6.93,6.955,0.03535533905932788,cRQWHohhVAeBLTB6vdPEXxs0cwy1
6.95,2121,anxiety,6.86,6.905,0.06363961030678918,cRQWHohhVAeBLTB6vdPEXxs0cwy1
6.87,0460,anxiety,6.92,6.895,0.03535533905932725,cRQWHohhVAeBLTB6vdPEXxs0cwy1
5.88,0911,anxiety,6.56,6.22,0.4808326112068521,cRQWHohhVAeBLTB6vdPEXxs0cwy1
,0491,anxiety,3.06,3.06,,cRQWHohhVAeBLTB6vdPEXxs0cwy1
6.51,1492,anxiety,6.56,6.535,0.03535533905932725,cRQWHohhVAeBLTB6vdPEXxs0cwy1
7.0,0489,anxiety,6.23,6.615,0.5444722215136413,cRQWHohhVAeBLTB6vdPEXxs0cwy1
5.24,1642,anxiety,4.36,4.800000000000001,0.6222539674441617,cRQWHohhVAeBLTB6vdPEXxs0cwy1
6.52,0190,anxiety,6.88,6.699999999999999,0.2545584412271574,cRQWHohhVAeBLTB6vdPEXxs0cwy1
5.8,1114,anxiety,6.36,6.08,0.39597979746446693,cRQWHohhVAeBLTB6vdPEXxs0cwy1
1.78,0758,anxiety,2.0,1.8900000000000001,0.15556349186104043,cRQWHohhVAeBLTB6vdPEXxs0cwy1
5.23,2130,anxiety,6.14,5.6850000000000005,0.6434671708797578,cRQWHohhVAeBLTB6vdPEXxs0cwy1
6.9,0548,anxiety,6.92,6.91,0.014142135623730649,cRQWHohhVAeBLTB6vdPEXxs0cwy1
6.51,0730,anxiety,6.79,6.65,0.19798989873223347,cRQWHohhVAeBLTB6vdPEXxs0cwy1
7.0,1767,anxiety,6.95,6.975,0.03535533905932725,cRQWHohhVAeBLTB6vdPEXxs0cwy1
2.93,0271,anxiety,2.68,2.805,0.1767766952966369,cRQWHohhVAeBLTB6vdPEXxs0cwy1
4.56,0648,anxiety,4.88,4.72,0.2262741699796954,cRQWHohhVAeBLTB6vdPEXxs0cwy1
6.96,0722,anxiety,6.65,6.805,0.21920310216782946,cRQWHohhVAeBLTB6vdPEXxs0cwy1
3.78,0115,anxiety,3.88,3.83,0.07071067811865482,cRQWHohhVAeBLTB6vdPEXxs0cwy1
5.22,1777,anxiety,5.85,5.535,0.44547727214752486,cRQWHohhVAeBLTB6vdPEXxs0cwy1
6.9,0046,anxiety,6.97,6.9350000000000005,0.049497474683057895,cRQWHohhVAeBLTB6vdPEXxs0cwy1
7.0,1283,anxiety,6.89,6.945,0.07778174593052045,cRQWHohhVAeBLTB6vdPEXxs0cwy1
6.76,1679,anxiety,6.76,6.76,0.0,cRQWHohhVAeBLTB6vdPEXxs0cwy1
5.73,0969,anxiety,6.46,6.095000000000001,0.5161879502661794,TBSmOkjgjoSQQpHNIxwCyhSfQkf1
5.82,0190,anxiety,6.14,5.98,0.2262741699796948,TBSmOkjgjoSQQpHNIxwCyhSfQkf1
2.53,1402,anxiety,2.41,2.4699999999999998,0.08485281374238547,TBSmOkjgjoSQQpHNIxwCyhSfQkf1
1.0,0758,anxiety,2.54,1.77,1.0889444430272832,TBSmOkjgjoSQQpHNIxwCyhSfQkf1
5.78,0046,anxiety,6.42,6.1,0.4525483399593902,TBSmOkjgjoSQQpHNIxwCyhSfQkf1
6.76,1114,anxiety,6.47,6.615,0.2050609665440988,TBSmOkjgjoSQQpHNIxwCyhSfQkf1
7.0,0730,anxiety,5.82,6.41,0.8343860018001259,TBSmOkjgjoSQQpHNIxwCyhSfQkf1
5.14,1283,anxiety,6.28,5.71,0.8061017305526645,TBSmOkjgjoSQQpHNIxwCyhSfQkf1
6.34,0911,anxiety,7.0,6.67,0.4666904755831215,TBSmOkjgjoSQQpHNIxwCyhSfQkf1
6.58,1492,anxiety,6.09,6.335,0.34648232278140845,TBSmOkjgjoSQQpHNIxwCyhSfQkf1
5.59,1737,anxiety,6.47,6.029999999999999,0.6222539674441617,TBSmOkjgjoSQQpHNIxwCyhSfQkf1
6.45,0744,anxiety,6.83,6.640000000000001,0.268700576850888,TBSmOkjgjoSQQpHNIxwCyhSfQkf1
5.61,1679,anxiety,6.08,5.845000000000001,0.33234018715767716,TBSmOkjgjoSQQpHNIxwCyhSfQkf1
7.0,0460,anxiety,6.08,6.54,0.6505382386916236,TBSmOkjgjoSQQpHNIxwCyhSfQkf1
5.81,2130,anxiety,6.56,6.185,0.5303300858899106,TBSmOkjgjoSQQpHNIxwCyhSfQkf1
5.97,0395,anxiety,6.36,6.165,0.27577164466275395,TBSmOkjgjoSQQpHNIxwCyhSfQkf1
5.68,0491,anxiety,4.68,5.18,0.7071067811865476,TBSmOkjgjoSQQpHNIxwCyhSfQkf1
7.0,1767,anxiety,6.45,6.725,0.388908729652601,TBSmOkjgjoSQQpHNIxwCyhSfQkf1
2.23,1777,anxiety,2.23,2.23,0.0,TBSmOkjgjoSQQpHNIxwCyhSfQkf1
6.99,0377,anxiety,5.9,6.445,0.7707463914933367,TBSmOkjgjoSQQpHNIxwCyhSfQkf1
6.67,0548,anxiety,6.42,6.545,0.1767766952966369,TBSmOkjgjoSQQpHNIxwCyhSfQkf1
6.35,2121,anxiety,6.26,6.305,0.06363961030678918,TBSmOkjgjoSQQpHNIxwCyhSfQkf1
6.12,0722,anxiety,6.53,6.325,0.28991378028648457,TBSmOkjgjoSQQpHNIxwCyhSfQkf1
2.15,0271,anxiety,5.58,3.865,2.425376259469858,TBSmOkjgjoSQQpHNIxwCyhSfQkf1
6.04,0489,anxiety,5.98,6.01,0.042426406871192576,TBSmOkjgjoSQQpHNIxwCyhSfQkf1
5.66,1037,anxiety,6.33,5.995,0.4737615433949868,TBSmOkjgjoSQQpHNIxwCyhSfQkf1
4.76,1642,anxiety,4.7,4.73,0.042426406871192576,TBSmOkjgjoSQQpHNIxwCyhSfQkf1
2.82,0115,anxiety,3.23,3.025,0.28991378028648457,TBSmOkjgjoSQQpHNIxwCyhSfQkf1
1.94,0648,anxiety,2.25,2.0949999999999998,0.21920310216782976,TBSmOkjgjoSQQpHNIxwCyhSfQkf1
2.24,0522,anxiety,1.61,1.9250000000000003,0.445477272147525,TBSmOkjgjoSQQpHNIxwCyhSfQkf1
5.02,0548,anxiety,5.83,5.425,0.5727564927611039,pEws4YaPQLhWeNFNtVVwDIx4vvM2
6.98,0460,anxiety,6.66,6.82,0.2262741699796954,pEws4YaPQLhWeNFNtVVwDIx4vvM2
7.0,1737,anxiety,6.7,6.85,0.21213203435596412,pEws4YaPQLhWeNFNtVVwDIx4vvM2
4.69,0491,anxiety,4.48,4.585000000000001,0.14849242404917495,pEws4YaPQLhWeNFNtVVwDIx4vvM2
6.86,0395,anxiety,7.0,6.93,0.09899494936611643,pEws4YaPQLhWeNFNtVVwDIx4vvM2
3.86,0522,anxiety,2.15,3.005,1.2091525958289961,pEws4YaPQLhWeNFNtVVwDIx4vvM2
4.46,1679,anxiety,4.17,4.3149999999999995,0.2050609665440988,pEws4YaPQLhWeNFNtVVwDIx4vvM2
4.4,1492,anxiety,4.78,4.59,0.268700576850888,pEws4YaPQLhWeNFNtVVwDIx4vvM2
4.55,1402,anxiety,4.44,4.495,0.07778174593051983,pEws4YaPQLhWeNFNtVVwDIx4vvM2
1.3,0271,anxiety,2.9,2.1,1.131370849898476,pEws4YaPQLhWeNFNtVVwDIx4vvM2
4.23,1777,anxiety,4.65,4.44,0.2969848480983499,pEws4YaPQLhWeNFNtVVwDIx4vvM2
3.25,0115,anxiety,3.59,3.42,0.24041630560342606,pEws4YaPQLhWeNFNtVVwDIx4vvM2
7.0,0046,anxiety,7.0,7.0,0.0,pEws4YaPQLhWeNFNtVVwDIx4vvM2
4.13,0911,anxiety,5.36,4.745,0.8697413408594538,pEws4YaPQLhWeNFNtVVwDIx4vvM2
6.17,0722,anxiety,7.0,6.585,0.5868986283848344,pEws4YaPQLhWeNFNtVVwDIx4vvM2
5.85,1114,anxiety,6.09,5.97,0.16970562748477155,pEws4YaPQLhWeNFNtVVwDIx4vvM2
6.59,1037,anxiety,6.28,6.4350000000000005,0.21920310216782946,pEws4YaPQLhWeNFNtVVwDIx4vvM2
6.45,2130,anxiety,5.84,6.145,0.43133513652379424,pEws4YaPQLhWeNFNtVVwDIx4vvM2
6.61,0730,anxiety,6.48,6.545,0.0919238815542511,pEws4YaPQLhWeNFNtVVwDIx4vvM2
2.02,0969,anxiety,3.76,2.8899999999999997,1.2303657992645927,pEws4YaPQLhWeNFNtVVwDIx4vvM2
1.98,0758,anxiety,2.05,2.0149999999999997,0.049497474683058214,pEws4YaPQLhWeNFNtVVwDIx4vvM2
3.91,0489,anxiety,3.98,3.9450000000000003,0.049497474683058214,pEws4YaPQLhWeNFNtVVwDIx4vvM2
4.98,0744,anxiety,5.94,5.460000000000001,0.6788225099390857,pEws4YaPQLhWeNFNtVVwDIx4vvM2
7.0,0190,anxiety,7.0,7.0,0.0,pEws4YaPQLhWeNFNtVVwDIx4vvM2
6.56,2121,anxiety,5.87,6.215,0.48790367901871745,pEws4YaPQLhWeNFNtVVwDIx4vvM2
4.98,1283,anxiety,6.29,5.635,0.926309883354377,pEws4YaPQLhWeNFNtVVwDIx4vvM2
4.6,0648,anxiety,4.73,4.665,0.09192388155425173,pEws4YaPQLhWeNFNtVVwDIx4vvM2
6.04,1767,anxiety,6.22,6.13,0.12727922061357835,pEws4YaPQLhWeNFNtVVwDIx4vvM2
2.88,1642,anxiety,4.73,3.805,1.3081475451951132,pEws4YaPQLhWeNFNtVVwDIx4vvM2
7.0,0377,anxiety,7.0,7.0,0.0,pEws4YaPQLhWeNFNtVVwDIx4vvM2
5.05,0115,anxiety,6.43,5.74,0.9758073580374355,FcfUH1l7WOdZFIhDl2RNobD9bJq1
6.03,0460,anxiety,6.31,6.17,0.19798989873223286,FcfUH1l7WOdZFIhDl2RNobD9bJq1
7.0,0744,anxiety,6.28,6.640000000000001,0.5091168824543141,FcfUH1l7WOdZFIhDl2RNobD9bJq1
6.8,2121,anxiety,7.0,6.9,0.14142135623730964,FcfUH1l7WOdZFIhDl2RNobD9bJq1
6.05,0722,anxiety,6.55,6.3,0.3535533905932738,FcfUH1l7WOdZFIhDl2RNobD9bJq1
6.1,0548,anxiety,6.86,6.48,0.5374011537017765,FcfUH1l7WOdZFIhDl2RNobD9bJq1
5.94,0911,anxiety,5.89,5.915,0.03535533905932788,FcfUH1l7WOdZFIhDl2RNobD9bJq1
5.07,0046,anxiety,6.05,5.5600000000000005,0.6929646455628162,FcfUH1l7WOdZFIhDl2RNobD9bJq1
3.96,0491,anxiety,5.52,4.74,1.1030865786510138,FcfUH1l7WOdZFIhDl2RNobD9bJq1
1.97,0758,anxiety,5.35,3.6599999999999997,2.3900209204105303,FcfUH1l7WOdZFIhDl2RNobD9bJq1
4.29,1679,anxiety,6.77,5.529999999999999,1.7536248173426374,FcfUH1l7WOdZFIhDl2RNobD9bJq1
5.0,0730,anxiety,6.2,5.6,0.8485281374238571,FcfUH1l7WOdZFIhDl2RNobD9bJq1
6.14,0969,anxiety,5.95,6.045,0.1343502884254437,FcfUH1l7WOdZFIhDl2RNobD9bJq1
4.58,1642,anxiety,5.52,5.05,0.6646803743153543,FcfUH1l7WOdZFIhDl2RNobD9bJq1
6.09,2130,anxiety,5.46,5.775,0.44547727214752486,FcfUH1l7WOdZFIhDl2RNobD9bJq1
6.75,0395,anxiety,6.5,6.625,0.1767766952966369,FcfUH1l7WOdZFIhDl2RNobD9bJq1
6.27,1777,anxiety,5.35,5.81,0.6505382386916236,FcfUH1l7WOdZFIhDl2RNobD9bJq1
6.71,0648,anxiety,5.84,6.275,0.6151828996322964,FcfUH1l7WOdZFIhDl2RNobD9bJq1
7.0,0271,anxiety,7.0,7.0,0.0,FcfUH1l7WOdZFIhDl2RNobD9bJq1
6.27,1767,anxiety,6.78,6.525,0.3606244584051397,FcfUH1l7WOdZFIhDl2RNobD9bJq1
5.97,1492,anxiety,5.39,5.68,0.4101219330881976,FcfUH1l7WOdZFIhDl2RNobD9bJq1
6.08,1737,anxiety,6.02,6.05,0.0424264068711932,FcfUH1l7WOdZFIhDl2RNobD9bJq1
6.05,0489,anxiety,6.03,6.04,0.014142135623730649,FcfUH1l7WOdZFIhDl2RNobD9bJq1
3.55,0522,anxiety,4.13,3.84,0.4101219330881976,FcfUH1l7WOdZFIhDl2RNobD9bJq1
5.99,0190,anxiety,6.18,6.085,0.1343502884254437,FcfUH1l7WOdZFIhDl2RNobD9bJq1
5.22,1402,anxiety,6.1,5.66,0.6222539674441617,FcfUH1l7WOdZFIhDl2RNobD9bJq1
6.84,0377,anxiety,6.46,6.65,0.268700576850888,FcfUH1l7WOdZFIhDl2RNobD9bJq1
5.53,1283,anxiety,5.95,5.74,0.2969848480983499,FcfUH1l7WOdZFIhDl2RNobD9bJq1
6.03,1114,anxiety,5.95,5.99,0.05656854249492385,FcfUH1l7WOdZFIhDl2RNobD9bJq1
5.36,1037,anxiety,5.52,5.4399999999999995,0.11313708498984708,FcfUH1l7WOdZFIhDl2RNobD9bJq1
6.09,0730,anxiety,6.39,6.24,0.21213203435596412,iUjLBOX7mCdy2Vx6m6v0aLRenHl1
5.66,1114,anxiety,5.73,5.695,0.049497474683058526,iUjLBOX7mCdy2Vx6m6v0aLRenHl1
5.86,1037,anxiety,4.89,5.375,0.6858935777509516,iUjLBOX7mCdy2Vx6m6v0aLRenHl1
3.69,0377,anxiety,4.63,4.16,0.6646803743153546,iUjLBOX7mCdy2Vx6m6v0aLRenHl1
4.75,0190,anxiety,4.82,4.785,0.049497474683058526,iUjLBOX7mCdy2Vx6m6v0aLRenHl1
1.09,0758,anxiety,2.19,1.6400000000000001,0.7778174593052022,iUjLBOX7mCdy2Vx6m6v0aLRenHl1
3.72,1737,anxiety,3.79,3.755,0.049497474683058214,iUjLBOX7mCdy2Vx6m6v0aLRenHl1
5.22,0491,anxiety,5.23,5.225,0.007071067811865952,iUjLBOX7mCdy2Vx6m6v0aLRenHl1
4.74,1492,anxiety,4.72,4.73,0.014142135623731277,iUjLBOX7mCdy2Vx6m6v0aLRenHl1
5.78,0722,anxiety,5.91,5.845000000000001,0.0919238815542511,iUjLBOX7mCdy2Vx6m6v0aLRenHl1
5.75,2130,anxiety,5.91,5.83,0.1131370849898477,iUjLBOX7mCdy2Vx6m6v0aLRenHl1
