videoID,emotionName,durationBlackScreen,rating,average_rating,variance_rating,subject_id
0046,anxiety,2600,7.0,7.0,0.0,O4mOO2W80Od34gyNg7l6hJzqlDm2
0648,anxiety,2600,5.05,5.455,0.5727564927611039,O4mOO2W80Od34gyNg7l6hJzqlDm2
0548,anxiety,2600,5.83,5.95,0.16970562748477155,O4mOO2W80Od34gyNg7l6hJzqlDm2
1171,joy,2600,3.63,3.48,0.21213203435596414,O4mOO2W80Od34gyNg7l6hJzqlDm2
1679,anxiety,2600,5.66,5.890000000000001,0.3252691193458118,O4mOO2W80Od34gyNg7l6hJzqlDm2
1191,joy,2600,4.28,4.205,0.10606601717798238,O4mOO2W80Od34gyNg7l6hJzqlDm2
1086,romance,2600,4.51,4.39,0.16970562748477155,O4mOO2W80Od34gyNg7l6hJzqlDm2
2067,disgust,2600,3.42,3.56,0.19798989873223347,O4mOO2W80Od34gyNg7l6hJzqlDm2
1167,sadness,2600,3.36,3.37,0.014142135623730963,O4mOO2W80Od34gyNg7l6hJzqlDm2
1511,sadness,2600,1.0,1.295,0.41719300090006306,O4mOO2W80Od34gyNg7l6hJzqlDm2
0911,anxiety,2600,,6.35,,vTreiIt2JuefuP24EEhz5QRXwyq2
1848,joy,2600,5.04,4.73,0.4384062043356595,vTreiIt2JuefuP24EEhz5QRXwyq2
1231,sadness,2600,6.91,6.91,,vTreiIt2JuefuP24EEhz5QRXwyq2
1767,anxiety,2600,6.98,6.87,0.1555634918610409,vTreiIt2JuefuP24EEhz5QRXwyq2
1137,disgust,2600,6.99,6.725,0.37476659402887036,vTreiIt2JuefuP24EEhz5QRXwyq2
0600,sadness,2600,2.82,2.6799999999999997,0.19798989873223316,vTreiIt2JuefuP24EEhz5QRXwyq2
1037,anxiety,2600,2.72,2.805,0.12020815280171303,vTreiIt2JuefuP24EEhz5QRXwyq2
0009,sadness,2600,6.76,6.41,0.4949747468305834,vTreiIt2JuefuP24EEhz5QRXwyq2
1174,disgust,2600,6.94,6.94,0.0,vTreiIt2JuefuP24EEhz5QRXwyq2
1028,romance,2600,2.67,1.9249999999999998,1.053589103967956,vTreiIt2JuefuP24EEhz5QRXwyq2
1086,romance,2600,6.02,5.484999999999999,0.7566042558696054,vTreiIt2JuefuP24EEhz5QRXwyq2
1743,joy,2600,2.48,2.145,0.4737615433949868,vTreiIt2JuefuP24EEhz5QRXwyq2
1658,romance,2600,6.17,6.47,0.4242640687119283,vTreiIt2JuefuP24EEhz5QRXwyq2
1167,sadness,2600,3.26,3.025,0.33234018715767716,vTreiIt2JuefuP24EEhz5QRXwyq2
0648,anxiety,2600,6.05,4.865,1.6758430714121173,vTreiIt2JuefuP24EEhz5QRXwyq2
0460,anxiety,2600,,6.41,,vTreiIt2JuefuP24EEhz5QRXwyq2
1012,joy,2600,5.7,5.805,0.14849242404917495,vTreiIt2JuefuP24EEhz5QRXwyq2
0744,anxiety,2600,6.47,6.18,0.4101219330881976,vTreiIt2JuefuP24EEhz5QRXwyq2
1378,romance,2600,5.61,5.5600000000000005,0.07071067811865513,vTreiIt2JuefuP24EEhz5QRXwyq2
1850,joy,2600,6.1,4.785,1.8596908345206196,vTreiIt2JuefuP24EEhz5QRXwyq2
0059,disgust,2600,6.95,6.295,0.9263098833543776,vTreiIt2JuefuP24EEhz5QRXwyq2
0120,sadness,2600,2.62,3.02,0.5656854249492379,vTreiIt2JuefuP24EEhz5QRXwyq2
0520,romance,2600,1.46,1.48,0.028284271247461926,vTreiIt2JuefuP24EEhz5QRXwyq2
1829,romance,2600,6.42,6.029999999999999,0.5515432893255073,vTreiIt2JuefuP24EEhz5QRXwyq2
0730,anxiety,2600,6.51,6.3100000000000005,0.2828427124746186,vTreiIt2JuefuP24EEhz5QRXwyq2
1765,disgust,2600,6.82,6.905,0.12020815280171303,vTreiIt2JuefuP24EEhz5QRXwyq2
0417,disgust,2600,6.92,6.085,1.1808683245815343,vTreiIt2JuefuP24EEhz5QRXwyq2
1295,romance,2600,6.42,6.640000000000001,0.3111269837220812,vTreiIt2JuefuP24EEhz5QRXwyq2
2130,anxiety,2600,6.72,5.84,1.2445079348883235,vTreiIt2JuefuP24EEhz5QRXwyq2
2119,sadness,2600,6.57,6.37,0.2828427124746193,vTreiIt2JuefuP24EEhz5QRXwyq2
0190,anxiety,2600,6.38,6.59,0.2969848480983499,vTreiIt2JuefuP24EEhz5QRXwyq2
0491,anxiety,2600,3.1,3.2199999999999998,0.16970562748477125,vTreiIt2JuefuP24EEhz5QRXwyq2
1035,disgust,2600,2.08,1.8450000000000002,0.3323401871576773,vTreiIt2JuefuP24EEhz5QRXwyq2
1329,sadness,2600,4.58,3.165,2.0011121907579295,vTreiIt2JuefuP24EEhz5QRXwyq2
1916,disgust,2600,6.21,5.87,0.4808326112068521,vTreiIt2JuefuP24EEhz5QRXwyq2
1534,romance,2600,2.44,2.8049999999999997,0.5161879502661797,vTreiIt2JuefuP24EEhz5QRXwyq2
1283,anxiety,2600,6.14,6.42,0.39597979746446693,vTreiIt2JuefuP24EEhz5QRXwyq2
2006,disgust,2600,6.09,4.6899999999999995,1.979898987322333,vTreiIt2JuefuP24EEhz5QRXwyq2
1159,joy,2600,5.1,5.1,0.0,vTreiIt2JuefuP24EEhz5QRXwyq2
1623,sadness,2600,5.57,6.0649999999999995,0.7000357133746815,vTreiIt2JuefuP24EEhz5QRXwyq2
0969,anxiety,2600,6.88,6.085,1.1242997820866105,vTreiIt2JuefuP24EEhz5QRXwyq2
0779,romance,2600,6.05,5.755,0.41719300090006295,vTreiIt2JuefuP24EEhz5QRXwyq2
1960,disgust,2600,2.78,2.87,0.1272792206135787,vTreiIt2JuefuP24EEhz5QRXwyq2
0982,joy,2600,6.87,5.984999999999999,1.2515790027001894,vTreiIt2JuefuP24EEhz5QRXwyq2
1191,joy,2600,,3.51,,vTreiIt2JuefuP24EEhz5QRXwyq2
0909,disgust,2600,5.87,5.9,0.042426406871192576,vTreiIt2JuefuP24EEhz5QRXwyq2
0543,romance,2600,6.03,5.525,0.7141778489984135,vTreiIt2JuefuP24EEhz5QRXwyq2
1160,joy,2600,1.13,1.14,0.014142135623730963,vTreiIt2JuefuP24EEhz5QRXwyq2
2110,romance,2600,6.96,6.885,0.10606601717798238,vTreiIt2JuefuP24EEhz5QRXwyq2
1737,anxiety,2600,5.98,6.09,0.15556349186104027,vTreiIt2JuefuP24EEhz5QRXwyq2
0877,sadness,2600,6.51,6.63,0.16970562748477155,vTreiIt2JuefuP24EEhz5QRXwyq2
1943,sadness,2600,1.07,2.115,1.4778531726798843,vTreiIt2JuefuP24EEhz5QRXwyq2
0307,romance,2600,3.38,3.4749999999999996,0.134350288425444,vTreiIt2JuefuP24EEhz5QRXwyq2
1725,sadness,2600,6.62,6.525,0.1343502884254443,vTreiIt2JuefuP24EEhz5QRXwyq2
0522,anxiety,2600,4.56,4.83,0.3818376618407357,vTreiIt2JuefuP24EEhz5QRXwyq2
1238,romance,2600,5.3,5.385,0.12020815280171303,vTreiIt2JuefuP24EEhz5QRXwyq2
1703,sadness,2600,6.97,6.96,0.014142135623730649,vTreiIt2JuefuP24EEhz5QRXwyq2
1576,disgust,2600,6.01,6.425,0.5868986283848344,vTreiIt2JuefuP24EEhz5QRXwyq2
1343,joy,2600,3.76,4.279999999999999,0.7353910524340094,vTreiIt2JuefuP24EEhz5QRXwyq2
1898,joy,2600,5.71,4.74,1.3717871555019021,vTreiIt2JuefuP24EEhz5QRXwyq2
0824,romance,2600,1.32,1.2850000000000001,0.049497474683058366,vTreiIt2JuefuP24EEhz5QRXwyq2
0377,anxiety,2600,6.47,6.285,0.26162950903902266,vTreiIt2JuefuP24EEhz5QRXwyq2
1580,joy,2600,1.42,1.7249999999999999,0.4313351365237939,vTreiIt2JuefuP24EEhz5QRXwyq2
2035,sadness,2600,6.76,6.845,0.12020815280171303,vTreiIt2JuefuP24EEhz5QRXwyq2
0095,disgust,2600,6.74,6.28,0.6505382386916236,vTreiIt2JuefuP24EEhz5QRXwyq2
2102,joy,2600,6.78,6.015000000000001,1.081873375215418,vTreiIt2JuefuP24EEhz5QRXwyq2
1206,joy,2600,2.24,2.34,0.1414213562373093,vTreiIt2JuefuP24EEhz5QRXwyq2
1271,disgust,2600,6.79,6.805,0.0212132034355966,vTreiIt2JuefuP24EEhz5QRXwyq2
1757,disgust,2600,7.0,4.58,3.42239682094289,vTreiIt2JuefuP24EEhz5QRXwyq2
0174,joy,2600,1.99,1.94,0.07071067811865482,vTreiIt2JuefuP24EEhz5QRXwyq2
0864,joy,2600,2.12,2.05,0.09899494936611673,vTreiIt2JuefuP24EEhz5QRXwyq2
0312,sadness,2600,7.0,6.984999999999999,0.0212132034355966,vTreiIt2JuefuP24EEhz5QRXwyq2
1932,joy,2600,4.46,4.654999999999999,0.27577164466275333,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1503,joy,2600,5.45,5.550000000000001,0.14142135623730964,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
0307,romance,2600,2.36,2.235,0.1767766952966369,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1174,disgust,2600,4.34,3.705,0.8980256121069153,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
0909,disgust,2600,1.47,1.355,0.1626345596729059,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1279,sadness,2600,4.71,5.18,0.664680374315355,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1169,sadness,2600,4.8,4.875,0.10606601717798238,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1101,sadness,2600,4.2,4.345000000000001,0.2050609665440988,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
0312,sadness,2600,3.88,4.465,0.8273149339882605,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1756,romance,2600,4.38,3.415,1.3647160876900366,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1626,romance,2600,1.63,1.47,0.2262741699796951,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1692,joy,2600,5.63,5.3,0.4666904755831215,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1365,joy,2600,3.42,3.985,0.7990306627407986,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
0490,sadness,2600,5.49,5.735,0.34648232278140845,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1137,disgust,2600,4.5,3.75,1.0606601717798212,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
0300,sadness,2600,5.61,6.09,0.6788225099390857,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
0489,anxiety,2600,6.1,5.8149999999999995,0.40305086527633166,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1238,romance,2600,4.59,4.8100000000000005,0.3111269837220812,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
0395,anxiety,2600,7.0,6.95,0.0707106781186545,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
0452,joy,2600,4.57,4.515000000000001,0.07778174593052045,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
0282,disgust,2600,3.42,3.995,0.8131727983645299,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1658,romance,2600,5.29,5.13,0.2262741699796954,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1171,joy,2600,3.03,2.0999999999999996,1.3152186130069783,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1534,romance,2600,4.87,4.68,0.268700576850888,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1167,sadness,2600,4.71,3.825,1.2515790027001892,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
0779,romance,2600,3.44,3.2249999999999996,0.3040559159102155,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
0059,disgust,2600,2.5,3.735,1.7465537495307721,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
0730,anxiety,2600,5.84,5.755,0.12020815280171303,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1642,anxiety,2600,5.46,5.26,0.2828427124746193,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1970,disgust,2600,1.0,1.0,0.0,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
0491,anxiety,2600,6.05,6.04,0.014142135623730649,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
0464,disgust,2600,6.78,6.61,0.24041630560342606,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
0174,joy,2600,5.58,5.605,0.03535533905932725,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1576,disgust,2600,7.0,6.984999999999999,0.0212132034355966,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
0190,anxiety,2600,7.0,6.975,0.03535533905932725,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
0829,disgust,2600,6.02,5.789999999999999,0.3252691193458118,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
2119,sadness,2600,5.05,5.02,0.042426406871192576,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1343,joy,2600,6.64,6.26,0.537401153701776,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
0543,romance,2600,4.83,5.09,0.3676955262170044,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1679,anxiety,2600,7.0,6.715,0.40305086527633227,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1283,anxiety,2600,7.0,7.0,0.0,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
2102,joy,2600,6.06,5.994999999999999,0.0919238815542511,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
0877,sadness,2600,6.05,5.765000000000001,0.40305086527633166,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
0271,anxiety,2600,5.83,5.175,0.9263098833543776,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
0513,disgust,2600,1.98,3.245,1.788980156401965,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
0982,joy,2600,6.59,5.82,1.0889444430272832,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1012,joy,2600,5.03,4.875,0.2192031021678301,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1698,joy,2600,4.51,4.5,0.014142135623730649,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
0774,sadness,2600,4.11,3.6,0.7212489168102788,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1777,anxiety,2600,5.13,4.890000000000001,0.3394112549695425,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
0891,sadness,2600,1.96,1.645,0.44547727214752486,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1428,joy,2600,1.95,1.475,0.67175144212722,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1160,joy,2600,1.93,1.4649999999999999,0.6576093065034891,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
0648,anxiety,2600,5.99,5.84,0.21213203435596412,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1916,disgust,2600,4.61,4.075,0.7566042558696061,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1281,joy,2600,2.83,2.395,0.6151828996322964,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1989,romance,2600,5.0,5.24,0.3394112549695431,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
0969,anxiety,2600,5.02,4.925,0.1343502884254437,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1909,romance,2600,5.56,5.295,0.37476659402886975,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1028,romance,2600,5.02,4.359999999999999,0.9333809511662423,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
0600,sadness,2600,1.93,1.9249999999999998,0.007071067811865481,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1492,anxiety,2600,4.98,4.755000000000001,0.3181980515339465,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
0417,disgust,2600,2.95,4.095000000000001,1.6192745289171937,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
2121,anxiety,2600,7.0,7.0,0.0,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1725,sadness,2600,4.98,4.975,0.007071067811865952,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1622,romance,2600,4.99,4.765000000000001,0.3181980515339465,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1716,romance,2600,4.98,4.99,0.014142135623730649,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1928,romance,2600,4.98,5.0,0.028284271247461298,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1404,disgust,2600,1.03,1.0150000000000001,0.021213203435596444,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
1271,disgust,2600,6.03,6.005000000000001,0.03535533905932725,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
0758,anxiety,2600,4.61,4.640000000000001,0.042426406871192576,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
0120,sadness,2600,1.0,1.0,0.0,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
2007,romance,2600,5.85,6.029999999999999,0.2545584412271574,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
0490,sadness,2600,5.16,5.455,0.41719300090006295,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
1752,sadness,2600,6.56,5.664999999999999,1.2657211383239202,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
0864,joy,2600,4.09,4.640000000000001,0.7778174593052027,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
2119,sadness,2600,5.87,5.67,0.2828427124746193,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
