chosenVideoID,chosenVideoRating,notChosenVideoID,notChosenVideoRating,emotionName,confidenceRating,chosenVideoVar,notChosenVideoVar,value_difference,summed_variability,summed_value,consistent_choice,subject_id
0282,4.215,0079,4.555,disgust,5.76,0.9404520189781083,0.5586143571373726,0.33999999999999986,1.499066376115481,8.77,0,O4mOO2W80Od34gyNg7l6hJzqlDm2
1035,3.755,1576,3.44,disgust,,1.2657211383239204,0.15556349186104027,0.31499999999999995,1.4212846301849607,7.195,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1035,3.755,1434,3.4749999999999996,disgust,,1.2657211383239204,0.07778174593052013,0.28000000000000025,1.3435028842544405,7.2299999999999995,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1035,3.755,1757,3.475,disgust,,1.2657211383239204,0.41719300090006295,0.2799999999999998,1.6829141392239833,7.23,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
0282,4.215,2067,3.56,disgust,,0.9404520189781083,0.19798989873223347,0.6549999999999998,1.1384419177103418,7.775,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1765,4.630000000000001,1035,3.755,disgust,5.51,0.21213203435596412,1.2657211383239204,0.8750000000000009,1.4778531726798845,8.385000000000002,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
2067,3.56,1404,3.01,disgust,,0.19798989873223347,0.31112698372208086,0.5500000000000003,0.5091168824543143,6.57,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1487,3.92,2067,3.56,disgust,,0.8343860018001259,0.19798989873223347,0.3599999999999999,1.0323759005323594,7.48,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
0905,4.16,1487,3.92,disgust,6.13,1.1313708498984762,0.8343860018001259,0.2400000000000002,1.9657568516986021,8.08,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
0417,4.645,1576,3.44,disgust,4.5,0.3606244584051397,0.15556349186104027,1.2049999999999996,0.5161879502661799,8.084999999999999,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
2067,3.56,2006,2.705,disgust,,0.19798989873223347,1.011162697096763,0.855,1.2091525958289966,6.265000000000001,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
0829,2.92,1970,1.675,disgust,7,0.05656854249492385,0.9545941546018393,1.2449999999999999,1.011162697096763,4.595,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
