chosenVideoID,chosenVideoRating,notChosenVideoID,notChosenVideoRating,emotionName,confidenceRating,chosenVideoVar,notChosenVideoVar,value_difference,summed_variability,summed_value,consistent_choice,subject_id
1191,4.205,1206,3.27,joy,,0.10606601717798238,0.5091168824543141,0.935,0.6151828996322964,7.475,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1932,5.574999999999999,1503,4.32,joy,,0.33234018715767716,0.12727922061357835,1.254999999999999,0.45961940777125554,9.895,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1012,4.65,0864,4.105,joy,,0.127279220613579,0.5161879502661794,0.5449999999999999,0.6434671708797584,8.755,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1503,4.32,1365,3.105,joy,,0.12727922061357835,0.33234018715767716,1.2150000000000003,0.45961940777125554,7.425000000000001,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
2102,4.21,1159,3.335,joy,,0.6222539674441621,0.14849242404917495,0.875,0.770746391493337,7.545,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1661,4.970000000000001,1503,4.32,joy,,0.2545584412271574,0.12727922061357835,0.6500000000000004,0.38183766184073575,9.290000000000001,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1698,4.275,1692,4.87,joy,,0.19091883092036815,0.1838477631085022,0.5949999999999998,0.37476659402887036,9.145,0,O4mOO2W80Od34gyNg7l6hJzqlDm2
1698,4.275,0982,4.9,joy,,0.19091883092036815,0.7778174593052027,0.625,0.968736290225571,9.175,0,O4mOO2W80Od34gyNg7l6hJzqlDm2
2102,4.21,1206,3.27,joy,6.02,0.6222539674441621,0.5091168824543141,0.94,1.131370849898476,7.48,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1160,2.58,1171,3.48,joy,4.12,0.45254833995939053,0.21213203435596414,0.8999999999999999,0.6646803743153546,6.0600000000000005,0,O4mOO2W80Od34gyNg7l6hJzqlDm2
1428,3.5300000000000002,0864,4.105,joy,,0.16970562748477125,0.5161879502661794,0.5750000000000002,0.6858935777509506,7.635000000000001,0,O4mOO2W80Od34gyNg7l6hJzqlDm2
2060,4.0200000000000005,1503,4.32,joy,,0.24041630560342636,0.12727922061357835,0.2999999999999998,0.36769552621700474,8.34,0,O4mOO2W80Od34gyNg7l6hJzqlDm2
2060,4.0200000000000005,1365,3.105,joy,,0.24041630560342636,0.33234018715767716,0.9150000000000005,0.5727564927611035,7.125,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
0452,4.515000000000001,1698,4.275,joy,,0.07778174593052045,0.19091883092036815,0.2400000000000002,0.2687005768508886,8.790000000000001,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1898,4.52,1191,4.205,joy,,0.3252691193458118,0.10606601717798238,0.3149999999999995,0.4313351365237942,8.725,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
2060,4.0200000000000005,0982,4.9,joy,5.21,0.24041630560342636,0.7778174593052027,0.8799999999999999,1.018233764908629,8.920000000000002,0,O4mOO2W80Od34gyNg7l6hJzqlDm2
1898,4.52,1159,3.335,joy,5.52,0.3252691193458118,0.14849242404917495,1.1849999999999996,0.4737615433949868,7.8549999999999995,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1698,4.275,1159,3.335,joy,,0.19091883092036815,0.14849242404917495,0.9400000000000004,0.3394112549695431,7.61,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1698,4.275,1365,3.105,joy,,0.19091883092036815,0.33234018715767716,1.1700000000000004,0.5232590180780453,7.380000000000001,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
0194,4.51,1206,3.27,joy,,0.09899494936611643,0.5091168824543141,1.2399999999999998,0.6081118318204305,7.779999999999999,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1932,5.574999999999999,1160,2.58,joy,,0.33234018715767716,0.45254833995939053,2.994999999999999,0.7848885271170677,8.155,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1012,4.65,1171,3.48,joy,,0.127279220613579,0.21213203435596414,1.1700000000000004,0.33941125496954316,8.13,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1281,4.605,1698,4.275,joy,,0.0636396103067898,0.19091883092036815,0.33000000000000007,0.254558441227158,8.88,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
0194,4.51,1159,3.335,joy,,0.09899494936611643,0.14849242404917495,1.1749999999999998,0.24748737341529137,7.845,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
0982,4.9,1503,4.32,joy,6.15,0.7778174593052027,0.12727922061357835,0.5800000000000001,0.9050966799187811,9.22,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
0194,4.51,1191,4.205,joy,5.89,0.09899494936611643,0.10606601717798238,0.3049999999999997,0.2050609665440988,8.715,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1503,4.32,1171,3.48,joy,,0.12727922061357835,0.21213203435596414,0.8400000000000003,0.3394112549695425,7.800000000000001,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1898,4.52,1206,3.27,joy,,0.3252691193458118,0.5091168824543141,1.2499999999999996,0.8343860018001259,7.789999999999999,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1698,4.275,1850,4.605,joy,,0.19091883092036815,0.19091883092036815,0.33000000000000007,0.3818376618407363,8.88,0,O4mOO2W80Od34gyNg7l6hJzqlDm2
1850,4.605,2060,4.0200000000000005,joy,,0.19091883092036815,0.24041630560342636,0.585,0.4313351365237945,8.625,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1159,3.335,1191,4.205,joy,,0.14849242404917495,0.10606601717798238,0.8700000000000001,0.2545584412271573,7.54,0,O4mOO2W80Od34gyNg7l6hJzqlDm2
