chosenVideoID,chosenVideoRating,notChosenVideoID,notChosenVideoRating,emotionName,confidenceRating,chosenVideoVar,notChosenVideoVar,value_difference,summed_variability,summed_value,consistent_choice,subject_id
1054,5.68,0277,4.495,romance,5.65,0.1131370849898477,0.45961940777125615,1.1849999999999996,0.5727564927611039,10.175,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1238,5.3100000000000005,1028,4.66,romance,,0.3252691193458118,0.19798989873223347,0.6500000000000004,0.5232590180780453,9.97,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
2007,5.199999999999999,0103,2.19,romance,,0.9192388155425116,1.682914139223983,3.0099999999999993,2.6021529547664946,7.389999999999999,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1622,5.390000000000001,0277,4.495,romance,,0.9333809511662423,0.45961940777125615,0.8950000000000005,1.3930003589374984,9.885000000000002,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
0824,5.76,1295,4.595000000000001,romance,,0.09899494936611643,0.33234018715767716,1.1649999999999991,0.43133513652379357,10.355,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1086,4.39,1028,4.66,romance,,0.16970562748477155,0.19798989873223347,0.27000000000000046,0.367695526217005,9.05,0,O4mOO2W80Od34gyNg7l6hJzqlDm2
1295,4.595000000000001,1658,5.445,romance,,0.33234018715767716,0.388908729652601,0.8499999999999996,0.7212489168102781,10.040000000000001,0,O4mOO2W80Od34gyNg7l6hJzqlDm2
1928,4.795,1756,5.35,romance,,0.14849242404917495,0.19798989873223347,0.5549999999999997,0.34648232278140845,10.145,0,O4mOO2W80Od34gyNg7l6hJzqlDm2
1807,6.09,2007,5.199999999999999,romance,,0.09899494936611705,0.9192388155425116,0.8900000000000006,1.0182337649086286,11.29,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1054,5.68,1928,4.795,romance,,0.1131370849898477,0.14849242404917495,0.8849999999999998,0.26162950903902266,10.475,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
2007,5.199999999999999,1295,4.595000000000001,romance,,0.9192388155425116,0.33234018715767716,0.6049999999999986,1.2515790027001887,9.795,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1054,5.68,1626,5.12,romance,5.59,0.1131370849898477,0.014142135623730649,0.5599999999999996,0.12727922061357835,10.8,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1626,5.12,1928,4.795,romance,,0.014142135623730649,0.14849242404917495,0.3250000000000002,0.1626345596729056,9.915,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
2007,5.199999999999999,1658,5.445,romance,,0.9192388155425116,0.388908729652601,0.245000000000001,1.3081475451951126,10.645,0,O4mOO2W80Od34gyNg7l6hJzqlDm2
1626,5.12,0277,4.495,romance,5.44,0.014142135623730649,0.45961940777125615,0.625,0.4737615433949868,9.615,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1756,5.35,0277,4.495,romance,,0.19798989873223347,0.45961940777125615,0.8549999999999995,0.6576093065034896,9.844999999999999,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
0543,5.855,1028,4.66,romance,,0.685893577750951,0.19798989873223347,1.1950000000000003,0.8838834764831844,10.515,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1909,5.415,1626,5.12,romance,,0.06363961030678918,0.014142135623730649,0.29499999999999993,0.07778174593051983,10.535,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1909,5.415,1716,4.21,romance,,0.06363961030678918,1.1172287142747452,1.205,1.1808683245815343,9.625,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1928,4.795,1378,5.4,romance,,0.14849242404917495,0.042426406871192576,0.6050000000000004,0.19091883092036754,10.195,0,O4mOO2W80Od34gyNg7l6hJzqlDm2
0277,4.495,1928,4.795,romance,6.07,0.45961940777125615,0.14849242404917495,0.2999999999999998,0.608111831820431,9.29,0,O4mOO2W80Od34gyNg7l6hJzqlDm2
1658,5.445,1716,4.21,romance,5.65,0.388908729652601,1.1172287142747452,1.2350000000000003,1.5061374439273463,9.655000000000001,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1716,4.21,0277,4.495,romance,3.43,1.1172287142747452,0.45961940777125615,0.28500000000000014,1.5768481220460013,8.705,0,O4mOO2W80Od34gyNg7l6hJzqlDm2
1534,4.359999999999999,1028,4.66,romance,,0.21213203435596412,0.19798989873223347,0.3000000000000007,0.41012193308819755,9.02,0,O4mOO2W80Od34gyNg7l6hJzqlDm2
2110,6.16,0069,5.02,romance,,1.1879393923933996,0.6363961030678924,1.1400000000000006,1.824335495461292,11.18,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1989,5.73,1928,4.795,romance,,0.5374011537017765,0.14849242404917495,0.9350000000000005,0.6858935777509515,10.525,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
0069,5.02,1028,4.66,romance,5.02,0.6363961030678924,0.19798989873223347,0.35999999999999943,0.8343860018001259,9.68,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1378,5.4,1716,4.21,romance,,0.042426406871192576,1.1172287142747452,1.1900000000000004,1.1596551211459378,9.61,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
